          Index           Name          S[cm]     Beta1x[cm]         Alfa1x     Beta1y[cm]         Alfa1y    Nu1 [2*PI]      Beta2x[cm]         Alfa2x     Beta2y[cm]         Alfa2y     Nu2 [2*PI]              U        Dx [cm]            Dxp         Dy[cm]            Dyp      Q1 [2*PI]      Q2 [2*PI]        m56[m] 
             27          DTEMP          274.4        612.111      -0.499788        34.4022     -0.0295577      0.0819318        34.0297       -0.02818        617.064      -0.535749       0.417941      0.0525473       -1.27042    -0.00236788        1.39282     0.00185319      0.0797075      0.0804066              0
             28          DTEMP          284.2        622.087      -0.518159        34.9916     -0.0305932      0.0819643         34.592     -0.0292039        627.749      -0.554564       0.417926      0.0525473       -1.29363    -0.00236788        1.41098     0.00185319      0.0821024      0.0827811              0
             29          DTEMP            294        632.423       -0.53653        35.6014     -0.0316286      0.0819982        35.1745     -0.0302277        638.803      -0.573379        0.41791      0.0525473       -1.31683    -0.00236788        1.42914     0.00185319      0.0844585      0.0851148              0
             30          DTEMP          303.8        643.119      -0.554901        36.2315     -0.0326641      0.0820334         35.777     -0.0312516        650.226      -0.592194       0.417893      0.0525473       -1.34004    -0.00236788         1.4473     0.00185319      0.0867757      0.0874078              0
             31          DTEMP          313.6        654.175      -0.573272        36.8819     -0.0336995      0.0820696        36.3995     -0.0322755        662.017      -0.611008       0.417874      0.0525473       -1.36324    -0.00236788        1.46546     0.00185319      0.0890541      0.0896602              0
             32          DTEMP          323.4        665.591      -0.591643        37.5525      -0.034735      0.0821069        37.0422     -0.0332994        674.177      -0.629823       0.417854      0.0525473       -1.38645    -0.00236788        1.48362     0.00185319      0.0912937      0.0918723              0
             33          DTEMP          333.2        677.367      -0.610014        38.2435     -0.0357704       0.082145        37.7049     -0.0343233        686.706      -0.648638       0.417833      0.0525473       -1.40965    -0.00236788        1.50178     0.00185319      0.0934946      0.0940442              0
             34          DTEMP            343        689.504      -0.628385        38.9547     -0.0368059      0.0821839        38.3876     -0.0353471        699.604      -0.667453       0.417811      0.0525473       -1.43286    -0.00236788        1.51995     0.00185319       0.095657      0.0961763              0
             35          DTEMP          352.8            702      -0.646756        39.6863     -0.0378413      0.0822235        39.0905      -0.036371         712.87      -0.686268       0.417787      0.0525473       -1.45606    -0.00236788        1.53811     0.00185319      0.0977811      0.0982689              0
             36          DTEMP          362.6        714.856      -0.665127        40.4381     -0.0388768      0.0822637        39.8134     -0.0373949        726.506      -0.705083       0.417763      0.0525473       -1.47927    -0.00236788        1.55627     0.00185319      0.0998672       0.100322              0
             37          DTEMP          372.4        728.073      -0.683498        41.2102     -0.0399122      0.0823043        40.5564     -0.0384188         740.51      -0.723898       0.417738      0.0525473       -1.50247    -0.00236788        1.57443     0.00185319       0.101916       0.102337              0
             38          DTEMP          382.2         741.65      -0.701869        42.0026     -0.0409477      0.0823454        41.3194     -0.0394427        754.882      -0.742713       0.417713      0.0525473       -1.52568    -0.00236788        1.59259     0.00185319       0.103927       0.104314              0
             39          DTEMP            392        755.586      -0.720239        42.8154     -0.0419831      0.0823868        42.1025     -0.0404665        769.624      -0.761528       0.417686      0.0525473       -1.54888    -0.00236788        1.61075     0.00185319       0.105901       0.106253              0
             40          DTEMP          401.8        769.883       -0.73861        43.6484     -0.0430186      0.0824284        42.9057     -0.0414904        784.734      -0.780342        0.41766      0.0525473       -1.57209    -0.00236788        1.62891     0.00185319       0.107838       0.108154              0
             41          DTEMP          411.6         784.54      -0.756981        44.5017      -0.044054      0.0824703        43.7289     -0.0425143        800.213      -0.799157       0.417632      0.0525473        -1.5953    -0.00236788        1.64708     0.00185319        0.10974       0.110019              0
             42          DTEMP          421.4        799.557      -0.775352        45.3753     -0.0450895      0.0825122        44.5722     -0.0435382        816.061      -0.817972       0.417605      0.0525473        -1.6185    -0.00236788        1.66524     0.00185319       0.111606       0.111848              0
             43          DTEMP          431.2        814.934      -0.793723        46.2692     -0.0461249      0.0825542        45.4356     -0.0445621        832.278      -0.836787       0.417576      0.0525473       -1.64171    -0.00236788         1.6834     0.00185319       0.113437       0.113641              0
             44          DTEMP            441        830.671      -0.812094        47.1834     -0.0471604      0.0825962        46.3191     -0.0455859        848.863      -0.855602       0.417548      0.0525473       -1.66491    -0.00236788        1.70156     0.00185319       0.115233       0.115399              0
             45          DTEMP          450.8        846.768      -0.830465        48.1179     -0.0481959      0.0826381        47.2226     -0.0466098        865.818      -0.874417       0.417519      0.0525473       -1.68812    -0.00236788        1.71972     0.00185319       0.116995       0.117123              0
             46          DTEMP          460.6        863.225      -0.848836        49.0727     -0.0492313      0.0826799        48.1462     -0.0476337        883.141      -0.893232        0.41749      0.0525473       -1.71132    -0.00236788        1.73788     0.00185319       0.118723       0.118813              0
             47          DTEMP          470.4        880.042      -0.867207        50.0478     -0.0502668      0.0827216        49.0898     -0.0486576        900.832      -0.912047       0.417461      0.0525473       -1.73453    -0.00236788        1.75604     0.00185319       0.120419        0.12047              0
             48          DTEMP          480.2        897.219      -0.885578        51.0431     -0.0513022      0.0827631        50.0536     -0.0496814        918.893      -0.930862       0.417432      0.0525473       -1.75773    -0.00236788         1.7742     0.00185319       0.122082       0.122094              0
             49          DTEMP            490        914.757      -0.903949        52.0588     -0.0523377      0.0828043        51.0373     -0.0507053        937.322      -0.949676       0.417403      0.0525473       -1.78094    -0.00236788        1.79237     0.00185319       0.123713       0.123686              0
